timestamp,rms_b1,rms_b3,ratio
2003.10.22.12.06.24,0.12461381908219489,0.12888705027471,1.0342917922264825
2003.10.22.12.09.13,0.12381119580648291,0.12956208695061994,1.0464488781218597
2003.10.22.12.14.13,0.125246370877438,0.1313388774598819,1.0486441765917978
2003.10.22.12.19.13,0.1251974606387471,0.13108278894879277,1.0470083680612947
2003.10.22.12.24.13,0.12561814016563005,0.13130738905302275,1.0452900264236622
2003.10.22.12.29.13,0.12598810610870922,0.13171370523405823,1.0454455527762967
2003.10.22.12.34.13,0.1254834547345162,0.13103284248823602,1.044224059382654
2003.10.22.12.39.13,0.12507391310834717,0.13077409347952149,1.0455744945489667
2003.10.22.12.44.13,0.12539559920040305,0.1309602392993528,1.044376677765673
2003.10.22.12.49.13,0.12482766323140276,0.1310096320185681,1.049524028786034
2003.10.22.12.54.13,0.12513830668816506,0.13050809193512436,1.0429108031670942
2003.10.22.12.59.13,0.12481685430718333,0.1314210076433749,1.052910749696818
2003.10.22.13.04.13,0.12414192376601921,0.1297513133664261,1.0451852962338442
2003.10.22.13.09.13,0.12444903026063521,0.1316200429013734,1.0576220853285867
2003.10.22.13.14.13,0.12467762374733186,0.13108482612653916,1.051390154757777
2003.10.22.13.19.13,0.12854707840782498,0.13039390162150272,1.0143669015006203
2003.10.22.13.24.13,0.1266232757240079,0.13061621718380245,1.031534024348712
2003.10.22.13.29.13,0.12733308448434316,0.1314557110021399,1.0323767113197015
2003.10.22.13.34.13,0.12591842849545742,0.13107966309146463,1.040988715136271
2003.10.22.13.39.13,0.12636422431804026,0.13155240051793526,1.0410573184609366
2003.10.22.13.44.13,0.12644587083789302,0.13110149746177102,1.0368191273706884
2003.10.22.13.49.13,0.12721884173111406,0.13032307304978893,1.0244007198653473
2003.10.22.13.54.13,0.12628998805916633,0.13109158129165607,1.0380203791787534
2003.10.22.13.59.13,0.12775051235984586,0.13108060553142245,1.0260671609848142
2003.10.22.14.04.13,0.12559320046066635,0.13170230899023516,1.0486420324281973
2003.10.22.14.09.13,0.12581248137108655,0.13117507199052247,1.0426236774046198
2003.10.22.14.14.13,0.12675109771313373,0.13169603563046706,1.0390129790317464
2003.10.22.14.19.13,0.12589396386133353,0.1324135904488164,1.0517866495542545
2003.10.22.14.24.13,0.12770694124360224,0.131531611019046,1.0299488010455764
2003.10.22.14.29.13,0.12737957605709158,0.13106518330735523,1.0289340517871701
2003.10.22.14.34.13,0.12581847391741108,0.13124121752610488,1.0430997407602747
2003.10.22.14.39.13,0.12645062107523436,0.13112515975026018,1.0369673049865418
2003.10.22.14.44.13,0.1269978340504893,0.1316381833972385,1.0365388069918136
2003.10.22.14.49.13,0.12617595349445304,0.1313048531209909,1.0406487883348021
2003.10.22.14.54.13,0.12633505643476398,0.1305857119819321,1.0336458910703306
2003.10.22.14.59.13,0.12576955516284286,0.12972896513320087,1.0314814659655231
2003.10.22.15.04.13,0.12572201827407262,0.13083249350762172,1.0406490072598764
2003.10.22.15.09.13,0.1253454710365516,0.13005162323874028,1.0375454506913642
2003.10.22.15.14.13,0.1258592219505587,0.13062551939938602,1.037870069232588
2003.10.22.15.19.13,0.12527796847317418,0.13065377112872117,1.0429109980075875
2003.10.22.15.24.13,0.12537492736631745,0.13032141793525825,1.0394535867166508
2003.10.22.15.29.13,0.12540454654026206,0.13144744115104048,1.0481872051492034
2003.10.22.15.37.48,0.12548005689245753,0.13027137934093821,1.0381839358949851
2003.10.22.15.44.13,0.12484420349573454,0.1322879313367011,1.05962413658413
2003.10.22.15.54.13,0.1263029214963598,0.13265167174078507,1.0502660601133305
2003.10.22.16.04.13,0.12618064539951246,0.13080710168627122,1.0366653401725003
2003.10.22.16.14.13,0.1254624426341156,0.13071854810377667,1.041893855717359
2003.10.22.16.24.13,0.12571355340521412,0.13210360905513,1.0508302842201804
2003.10.22.16.34.13,0.1259276421002231,0.13016528217460197,1.0336513890334438
2003.10.22.16.44.13,0.1252925075619922,0.1300335220076082,1.0378395686850648
2003.10.22.16.54.13,0.12752978608109802,0.13123335050647852,1.0290407797204753
2003.10.22.17.04.13,0.1270623889417862,0.13105126155171828,1.0313930238771096
2003.10.22.17.14.13,0.12639790319321215,0.13054119077990048,1.0327797177169538
2003.10.22.17.19.38,0.12447809797309725,0.12994579624188501,1.0439249824492776
2003.10.22.17.24.13,0.12696380531997348,0.13067339806896666,1.029217718700572
2003.10.22.17.34.13,0.12905560987207462,0.13076999372855236,1.0132840707829525
2003.10.22.17.44.13,0.12541812509966663,0.13112288114946796,1.0454858980332222
2003.10.22.17.54.13,0.12502634038879817,0.13098224902843467,1.0476372308516366
2003.10.22.18.04.13,0.12456779557076289,0.13070889127298305,1.0492992243627817
2003.10.22.18.14.13,0.12388603358089341,0.1300704971487217,1.0499205874065705
2003.10.22.18.24.13,0.12755661809687688,0.13053095990660846,1.0233178164654115
2003.10.22.18.34.13,0.12556580033927928,0.13135532325439128,1.0461074822879215
2003.10.22.18.44.13,0.12598209411304995,0.1313285139048376,1.0424379339732999
2003.10.22.18.54.13,0.12619702477673556,0.13088814590436085,1.0371729930711497
2003.10.22.19.04.13,0.1304193059379175,0.13116149787719955,1.0056908134416491
2003.10.22.19.14.13,0.1321247766007454,0.13068005007758932,0.9890654382900358
2003.10.22.19.24.13,0.12856112606369635,0.13129679876232467,1.0212791594348116
2003.10.22.19.34.13,0.13050290963740283,0.13239714426147473,1.01451488422239
2003.10.22.19.44.13,0.13043272032450293,0.13034064537929305,0.9992940809255468
2003.10.22.19.54.13,0.1296436115496055,0.13123244785910895,1.0122554153691987
2003.10.22.20.04.13,0.1306373672748943,0.13255672724347112,1.0146922738004815
2003.10.22.20.14.13,0.12976024541076708,0.13187388254858312,1.0162887880731508
